ou_row,ou_col,Latency,Power Density,TOPS,Energy_per_Mac
16,16,13688.0,0.00199267578125,0.13671875,1.4575e-14
16,32,6860.0,0.005902832031250001,0.2734375,2.15875e-14
16,48,4584.0,0.01173046875,0.41015625,2.86e-14
16,64,3440.0,0.0194755859375,0.546875,3.5612500000000004e-14
16,80,2756.0,0.029138183593750002,0.68359375,4.2625e-14
16,96,2308.0,0.04071826171875,0.8203125,4.96375e-14
16,112,1984.0,0.0542158203125,0.95703125,5.6650000000000003e-14
16,128,1740.0,0.069630859375,1.09375,6.366250000000001e-14
16,144,1548.0,0.08696337890625,1.23046875,7.0675e-14
16,160,1392.0,0.10621337890625,1.3671875,7.76875e-14
16,176,1276.0,0.127380859375,1.50390625,8.470000000000001e-14
16,192,1172.0,0.1504658203125,1.640625,9.17125e-14
16,208,1076.0,0.17546826171875002,1.77734375,9.8725e-14
16,224,1016.0,0.20238818359375002,1.9140625,1.0573750000000001e-13
16,240,940.0,0.23122558593749998,2.05078125,1.1275e-13
16,256,888.0,0.26198046875000003,2.1875,1.1976250000000002e-13
32,16,8575.0,0.006053222656250001,0.2734375,2.2137500000000003e-14
32,32,4300.0,0.01594140625,0.546875,2.915e-14
32,48,2885.0,0.02966455078125,0.8203125,3.61625e-14
32,64,2175.0,0.04722265625000001,1.09375,4.3175e-14
32,80,1740.0,0.06861572265625,1.3671875,5.018750000000001e-14
32,96,1465.0,0.09384375,1.640625,5.72e-14
32,112,1270.0,0.12290673828125001,1.9140625,6.42125e-14
32,128,1110.0,0.1558046875,2.1875,7.122500000000001e-14
32,144,995.0,0.19253759765625,2.4609375,7.82375e-14
32,160,890.0,0.23310546875000002,2.734375,8.525e-14
32,176,810.0,0.27750830078125,3.0078125,9.226250000000001e-14
32,192,755.0,0.32574609375,3.28125,9.9275e-14
32,208,710.0,0.37781884765625,3.5546875,1.062875e-13
32,224,645.0,0.4337265625,3.828125,1.1330000000000001e-13
32,240,610.0,0.49346923828124994,4.1015625,1.203125e-13
32,256,570.0,0.557046875,4.375,1.2732500000000002e-13
48,16,6400.367025826444,0.012181640625,0.41015625,2.97e-14
48,32,3222.5233629161066,0.030115722656250007,0.8203125,3.6712500000000006e-14
48,48,2161.380487779087,0.053802246093750006,1.23046875,4.3725000000000004e-14
48,64,1636.3940127112987,0.0832412109375,1.640625,5.07375e-14
48,80,1312.4661876694718,0.1184326171875,2.05078125,5.775000000000001e-14
48,96,1111.4075376435103,0.15937646484375,2.4609375,6.47625e-14
48,112,960.613550124039,0.20607275390625004,2.87109375,7.177500000000001e-14
48,128,843.3293376088947,0.25852148437500005,3.28125,7.878750000000001e-14
48,144,748.384975096635,0.31672265625,3.69140625,8.58e-14
48,160,681.3654250879812,0.38067626953125006,4.1015625,9.281250000000001e-14
48,176,631.1007625814906,0.4503823242187501,4.51171875,9.9825e-14
48,192,569.666175073558,0.5258408203125,4.921875,1.068375e-13
48,208,541.7413625699522,0.6070517578125001,5.33203125,1.1385000000000001e-13
48,224,491.47670006346164,0.69401513671875,5.7421875,1.208625e-13
48,240,474.7218125612982,0.78673095703125,6.15234375,1.27875e-13
48,256,446.79700005769246,0.8851992187500001,6.5625,1.3488750000000001e-13
64,16,5160.0,0.0203779296875,0.546875,3.72625e-14
64,32,2610.0,0.04842578125000001,1.09375,4.4275000000000006e-14
64,48,1758.0,0.0841435546875,1.640625,5.1287500000000004e-14
64,64,1332.0,0.12753125,2.1875,5.83e-14
64,80,1068.0,0.17858886718750003,2.734375,6.53125e-14
64,96,906.0,0.23731640625,3.28125,7.2325e-14
64,112,774.0,0.30371386718750004,3.828125,7.933750000000001e-14
64,128,684.0,0.37778125000000007,4.375,8.635e-14
64,144,612.0,0.45951855468749997,4.921875,9.33625e-14
64,160,558.0,0.54892578125,5.46875,1.0037500000000001e-13
64,176,510.0,0.6460029296875,6.015625,1.073875e-13
64,192,480.0,0.75075,6.5625,1.144e-13
64,208,438.0,0.8631669921875,7.109375,1.2141250000000001e-13
64,224,426.0,0.9832539062500001,7.65625,1.28425e-13
64,240,390.0,1.1110107421875,8.203125,1.354375e-13
64,256,354.0,1.2464375,8.75,1.4245000000000001e-13
80,16,4355.808457377392,0.030642089843750005,0.68359375,4.4825e-14
80,32,2200.030977020802,0.07087158203125,1.3671875,5.1837500000000005e-14
80,48,1485.6531022985305,0.1206884765625,2.05078125,5.885e-14
80,64,1125.3032008899506,0.1800927734375,2.734375,6.58625e-14
80,80,897.7137894740054,0.24908447265625003,3.41796875,7.2875e-14
80,96,771.2752275762583,0.32766357421875003,4.1015625,7.98875e-14
80,112,651.1585937733983,0.41583007812500006,4.78515625,8.690000000000001e-14
80,128,587.9393128245247,0.513583984375,5.46875,9.39125e-14
80,144,537.3638880654257,0.62092529296875,6.15234375,1.00925e-13
80,160,461.50075092677736,0.7378540039062501,6.8359375,1.0793750000000001e-13
80,176,448.8568947370027,0.8643701171875,7.51953125,1.1495e-13
80,192,410.92532616767863,1.0004736328125,8.203125,1.219625e-13
80,208,366.6718295034671,1.1461645507812501,8.88671875,1.2897500000000001e-13
80,224,366.6718295034671,1.30144287109375,9.5703125,1.359875e-13
80,240,347.70604521880506,1.46630859375,10.25390625,1.43e-13
80,256,322.4183328392555,1.64076171875,10.9375,1.5001250000000001e-13
96,16,3799.523362916107,0.042974121093750005,0.8203125,5.2387500000000006e-14
96,32,1929.3940127112985,0.097453125,1.640625,5.94e-14
96,48,1310.40753764351,0.16343701171875002,2.4609375,6.641250000000001e-14
