ou_row,ou_col,Latency,Power Density,TOPS,Energy_per_Mac
16,16,888.0,0.025183124999999997,0.6875,3.663e-14
16,32,456.0,0.05061374999999999,1.375,3.6809999999999997e-14
16,48,320.0,0.076291875,2.0625,3.6989999999999996e-14
16,64,236.0,0.1022175,2.75,3.717e-14
32,16,570.0,0.100485,1.375,7.308e-14
32,32,295.0,0.20146499999999998,2.75,7.326e-14
32,48,220.0,0.30294000000000004,4.125,7.344e-14
32,64,155.0,0.40490999999999994,5.5,7.361999999999999e-14
48,16,446.79700005769246,0.225905625,2.0625,1.0953e-13
48,32,245.73835003173082,0.45255375,4.125,1.0971e-13
48,48,173.13383752235586,0.679944375,6.1875,1.0989e-13
48,64,156.37895002019238,0.9080775,8.25,1.1006999999999999e-13
64,16,354.0,0.401445,2.75,1.4598e-13
64,32,186.0,0.80388,5.5,1.4616e-13
64,48,168.0,1.207305,8.25,1.4633999999999999e-13
64,64,96.0,1.6117199999999998,11.0,1.4652e-13
