OU Size: 4x4
layer,time_s,energy_J
15,2.961364e-07,1.596772e-07
16,2.713069e-07,3.898368e-08
Total,,,
Latency (max),4.783032e-03,
Energy (sum),,1.462700e-04,
EDP, , ,6.996140e-07

OU Size: 4x40
layer,time_s,energy_J
1,2.017842e-04,8.291082e-07
2,4.304729e-03,1.768764e-05
3,2.152364e-03,8.843821e-06
4,3.625043e-03,1.768764e-05
5,8.080984e-04,8.843821e-06
6,7.827011e-04,1.768764e-05
7,7.511894e-04,1.768764e-05
8,1.888955e-04,8.843821e-06
9,1.912210e-04,1.768764e-05
10,1.928085e-04,1.768764e-05
11,4.739909e-05,4.421911e-06
12,4.726895e-05,4.421911e-06
13,4.782593e-05,4.421911e-06
14,2.323644e-08,9.826501e-09
15,2.665228e-07,1.604321e-07
16,2.441762e-07,3.916800e-08
Total,,,
Latency (max),4.304729e-03,
Energy (sum),,1.469616e-04,
EDP, , ,6.326297e-07

OU Size: 4x44
layer,time_s,energy_J
1,1.834401e-04,8.330099e-07
2,3.913390e-03,1.777088e-05
3,1.956695e-03,8.885439e-06
4,3.295493e-03,1.777088e-05
5,7.346349e-04,8.885439e-06
6,7.115464e-04,1.777088e-05
7,6.828995e-04,1.777088e-05
8,1.717232e-04,8.885439e-06
9,1.738373e-04,1.777088e-05
10,1.752805e-04,1.777088e-05
11,4.309008e-05,4.442720e-06
12,4.297177e-05,4.442720e-06
13,4.347812e-05,4.442720e-06
14,2.112403e-08,9.872744e-09
15,2.422934e-07,1.611871e-07
16,2.219784e-07,3.935232e-08
Total,,,
Latency (max),3.913390e-03,
Energy (sum),,1.476532e-04,
EDP, , ,5.778244e-07

OU Size: 4x48
layer,time_s,energy_J
1,1.681535e-04,8.369116e-07
2,3.587274e-03,1.785411e-05
3,1.793637e-03,8.927057e-06
4,3.020869e-03,1.785411e-05
5,6.734153e-04,8.927057e-06
6,6.522509e-04,1.785411e-05
7,6.259912e-04,1.785411e-05
8,1.574129e-04,8.927057e-06
9,1.593508e-04,1.785411e-05
10,1.606737e-04,1.785411e-05
11,3.949924e-05,4.463529e-06
12,3.939079e-05,4.463529e-06
13,3.985494e-05,4.463529e-06
14,1.936370e-08,9.918986e-09
15,2.221023e-07,1.619421e-07
16,2.034802e-07,3.953664e-08
Total,,,
Latency (max),3.587274e-03,
Energy (sum),,1.483448e-04,
EDP, , ,5.321532e-07

OU Size: 4x52
layer,time_s,energy_J
1,1.552186e-04,8.408133e-07
2,3.311330e-03,1.793735e-05
3,1.655665e-03,8.968675e-06
4,2.788494e-03,1.793735e-05
5,6.216142e-04,8.968675e-06
6,6.020778e-04,1.793735e-05
7,5.778380e-04,1.793735e-05
8,1.453042e-04,8.968675e-06
9,1.470931e-04,1.793735e-05
10,1.483142e-04,1.793735e-05
11,3.646084e-05,4.484338e-06
12,3.636073e-05,4.484338e-06
13,3.678918e-05,4.484338e-06
14,1.787418e-08,9.965229e-09
15,2.050175e-07,1.626971e-07
16,1.878278e-07,3.972096e-08
Total,,,
Latency (max),3.311330e-03,
Energy (sum),,1.490363e-04,
EDP, , ,4.935084e-07

OU Size: 4x56
layer,time_s,energy_J
1,1.441315e-04,8.447150e-07
2,3.074806e-03,1.802059e-05
3,1.537403e-03,9.010293e-06
4,2.589316e-03,1.802059e-05
5,5.772131e-04,9.010293e-06
6,5.590722e-04,1.802059e-05
7,5.365639e-04,1.802059e-05
8,1.349254e-04,9.010293e-06
9,1.365864e-04,1.802059e-05
10,1.377204e-04,1.802059e-05
11,3.385649e-05,4.505146e-06
12,3.376353e-05,4.505146e-06
13,3.416138e-05,4.505146e-06
14,1.659746e-08,1.001147e-08
15,1.903734e-07,1.634520e-07
16,1.744116e-07,3.990528e-08
Total,,,
Latency (max),3.074806e-03,
Energy (sum),,1.497279e-04,
EDP, , ,4.603843e-07

OU Size: 4x60
layer,time_s,energy_J
1,1.345228e-04,8.486167e-07
2,2.869819e-03,1.810382e-05
3,1.434910e-03,9.051911e-06
4,2.416695e-03,1.810382e-05
5,5.387323e-04,9.051911e-06
6,5.218007e-04,1.810382e-05
7,5.007929e-04,1.810382e-05
8,1.259303e-04,9.051911e-06
9,1.274807e-04,1.810382e-05
10,1.285390e-04,1.810382e-05
11,3.159939e-05,4.525955e-06
12,3.151263e-05,4.525955e-06
13,3.188395e-05,4.525955e-06
14,1.549096e-08,1.005771e-08
15,1.776818e-07,1.642070e-07
16,1.627841e-07,4.008960e-08
Total,,,
Latency (max),2.869819e-03,
Energy (sum),,1.504195e-04,
EDP, , ,4.316768e-07

OU Size: 4x64
layer,time_s,energy_J
1,1.261151e-04,8.525183e-07
2,2.690455e-03,1.818706e-05
3,1.345228e-03,9.093529e-06
4,2.265652e-03,1.818706e-05
5,5.050615e-04,9.093529e-06
6,4.891882e-04,1.818706e-05
7,4.694934e-04,1.818706e-05
8,1.180597e-04,9.093529e-06
9,1.195131e-04,1.818706e-05
10,1.205053e-04,1.818706e-05
11,2.962443e-05,4.546764e-06
12,2.954309e-05,4.546764e-06
13,2.989121e-05,4.546764e-06
14,1.452277e-08,1.010396e-08
15,1.665767e-07,1.649620e-07
16,1.526101e-07,4.027392e-08
Total,,,
Latency (max),2.690455e-03,
Energy (sum),,1.511111e-04,
EDP, , ,4.065576e-07

OU Size: 8x4
layer,time_s,energy_J
1,1.008921e-03,1.584084e-06
2,2.152364e-02,3.379380e-05
3,1.076182e-02,1.689690e-05
4,1.812521e-02,3.379380e-05
5,4.040492e-03,1.689690e-05
6,3.913505e-03,3.379380e-05
7,3.755947e-03,3.379380e-05
8,9.444776e-04,1.689690e-05
9,9.561049e-04,3.379380e-05
10,9.640425e-04,3.379380e-05
11,2.369954e-04,8.448450e-06
12,2.363447e-04,8.448450e-06
13,2.391296e-04,8.448450e-06
14,1.161822e-07,1.877440e-08
15,1.332614e-06,3.065197e-07
16,1.220881e-06,7.483392e-08
Total,,,
Latency (max),2.152364e-02,
Energy (sum),,2.807831e-04,
EDP, , ,6.043475e-06

OU Size: 8x8
layer,time_s,energy_J
1,5.044604e-04,1.587986e-06
2,1.076182e-02,3.387704e-05
3,5.380911e-03,1.693852e-05
4,9.062606e-03,3.387704e-05
5,2.020246e-03,1.693852e-05
6,1.956753e-03,3.387704e-05
7,1.877974e-03,3.387704e-05
8,4.722388e-04,1.693852e-05
9,4.780525e-04,3.387704e-05
10,4.820212e-04,3.387704e-05
11,1.184977e-04,8.469259e-06
12,1.181724e-04,8.469259e-06
13,1.195648e-04,8.469259e-06
14,5.809109e-08,1.882064e-08
15,6.663069e-07,3.072747e-07
16,6.104405e-07,7.501824e-08
Total,,,
Latency (max),1.076182e-02,
Energy (sum),,2.814747e-04,
EDP, , ,3.029180e-06

OU Size: 8x12
layer,time_s,energy_J
1,3.363069e-04,1.591888e-06
2,7.174548e-03,3.396027e-05
3,3.587274e-03,1.698014e-05
4,6.041738e-03,3.396027e-05
5,1.346831e-03,1.698014e-05
6,1.304502e-03,3.396027e-05
7,1.251982e-03,3.396027e-05
8,3.148259e-04,1.698014e-05
9,3.187016e-04,3.396027e-05
10,3.213475e-04,3.396027e-05
11,7.899848e-05,8.490068e-06
12,7.878158e-05,8.490068e-06
13,7.970988e-05,8.490068e-06
14,3.872740e-08,1.886688e-08
15,4.442046e-07,3.080297e-07
16,4.069603e-07,7.520256e-08
Total,,,
Latency (max),7.174548e-03,
Energy (sum),,2.821662e-04,
EDP, , ,2.024415e-06

OU Size: 8x16
layer,time_s,energy_J
1,2.522302e-04,1.595789e-06
2,5.380911e-03,3.404351e-05
3,2.690455e-03,1.702175e-05
4,4.531303e-03,3.404351e-05
5,1.010123e-03,1.702175e-05
6,9.783764e-04,3.404351e-05
7,9.389868e-04,3.404351e-05
8,2.361194e-04,1.702175e-05
9,2.390262e-04,3.404351e-05
10,2.410106e-04,3.404351e-05
11,5.924886e-05,8.510877e-06
12,5.908618e-05,8.510877e-06
13,5.978241e-05,8.510877e-06
14,2.904555e-08,1.891313e-08
15,3.331535e-07,3.087847e-07
16,3.052202e-07,7.538688e-08
Total,,,
Latency (max),5.380911e-03,
Energy (sum),,2.828578e-04,
EDP, , ,1.522033e-06

OU Size: 8x20
layer,time_s,energy_J
1,2.017842e-04,1.599691e-06
2,4.304729e-03,3.412674e-05
3,2.152364e-03,1.706337e-05
4,3.625043e-03,3.412674e-05
5,8.080984e-04,1.706337e-05
6,7.827011e-04,3.412674e-05
7,7.511894e-04,3.412674e-05
8,1.888955e-04,1.706337e-05
9,1.912210e-04,3.412674e-05
10,1.928085e-04,3.412674e-05
11,4.739909e-05,8.531686e-06
12,4.726895e-05,8.531686e-06
13,4.782593e-05,8.531686e-06
14,2.323644e-08,1.895937e-08
15,2.665228e-07,3.095396e-07
16,2.441762e-07,7.557120e-08
Total,,,
Latency (max),4.304729e-03,
Energy (sum),,2.835494e-04,
EDP, , ,1.220603e-06

OU Size: 8x24
layer,time_s,energy_J
1,1.681535e-04,1.603593e-06
2,3.587274e-03,3.420998e-05
3,1.793637e-03,1.710499e-05
4,3.020869e-03,3.420998e-05
5,6.734153e-04,1.710499e-05
6,6.522509e-04,3.420998e-05
7,6.259912e-04,3.420998e-05
8,1.574129e-04,1.710499e-05
9,1.593508e-04,3.420998e-05
10,1.606737e-04,3.420998e-05
11,3.949924e-05,8.552495e-06
12,3.939079e-05,8.552495e-06
13,3.985494e-05,8.552495e-06
14,1.936370e-08,1.900561e-08
15,2.221023e-07,3.102946e-07
