OU Size: 4x4
layer,time_s,energy_J
15,1.371579e-04,3.459672e-07
16,8.962827e-05,8.446464e-08
Total,,,
Latency (max),5.538247e-02,
Energy (sum),,3.169183e-04,
EDP, , ,1.755172e-05

OU Size: 4x40
layer,time_s,energy_J
1,2.336448e-03,1.934261e-06
2,4.984423e-02,4.126423e-05
3,2.492211e-02,2.063211e-05
4,4.984423e-02,4.126423e-05
5,2.492211e-02,2.063211e-05
6,4.984423e-02,4.126423e-05
7,4.984423e-02,4.126423e-05
8,2.492211e-02,2.063211e-05
9,2.820922e-02,4.126423e-05
10,4.984423e-02,4.126423e-05
11,8.124051e-03,1.031606e-05
12,1.246106e-02,1.031606e-05
13,1.111520e-02,1.031606e-05
14,1.076214e-05,2.292465e-08
15,1.234421e-04,3.742787e-07
16,8.066545e-05,9.137664e-08
Total,,,
Latency (max),4.984423e-02,
Energy (sum),,3.428527e-04,
EDP, , ,1.708923e-05

OU Size: 4x44
layer,time_s,energy_J
1,2.124044e-03,2.080574e-06
2,4.531293e-02,4.438558e-05
3,2.265647e-02,2.219279e-05
4,4.531293e-02,4.438558e-05
5,2.265647e-02,2.219279e-05
6,4.531293e-02,4.438558e-05
7,4.531293e-02,4.438558e-05
8,2.265647e-02,2.219279e-05
9,2.564474e-02,4.438558e-05
10,4.531293e-02,4.438558e-05
11,7.385501e-03,1.109639e-05
12,1.132823e-02,1.109639e-05
13,1.010473e-02,1.109639e-05
14,9.783763e-06,2.465874e-08
15,1.122201e-04,4.025903e-07
16,7.333222e-05,9.828864e-08
Total,,,
Latency (max),4.531293e-02,
Energy (sum),,3.687871e-04,
EDP, , ,1.671083e-05

OU Size: 4x48
layer,time_s,energy_J
1,1.947040e-03,2.226887e-06
2,4.153685e-02,4.750693e-05
3,2.076843e-02,2.375346e-05
4,4.153685e-02,4.750693e-05
5,2.076843e-02,2.375346e-05
6,4.153685e-02,4.750693e-05
7,4.153685e-02,4.750693e-05
8,2.076843e-02,2.375346e-05
9,2.350768e-02,4.750693e-05
10,4.153685e-02,4.750693e-05
11,6.770043e-03,1.187673e-05
12,1.038421e-02,1.187673e-05
13,9.262665e-03,1.187673e-05
14,8.968449e-06,2.639283e-08
15,1.028684e-04,4.309018e-07
16,6.722120e-05,1.052006e-07
Total,,,
Latency (max),4.153685e-02,
Energy (sum),,3.947215e-04,
EDP, , ,1.639549e-05

OU Size: 4x52
layer,time_s,energy_J
1,1.797268e-03,2.373200e-06
2,3.834171e-02,5.062827e-05
3,1.917086e-02,2.531414e-05
4,3.834171e-02,5.062827e-05
5,1.917086e-02,2.531414e-05
6,3.834171e-02,5.062827e-05
7,3.834171e-02,5.062827e-05
8,1.917086e-02,2.531414e-05
9,2.169940e-02,5.062827e-05
10,3.834171e-02,5.062827e-05
11,6.249270e-03,1.265707e-05
12,9.585428e-03,1.265707e-05
13,8.550153e-03,1.265707e-05
