OU Size: 4x4
layer,time_s,energy_J
15,4.765258e-05,2.964324e-07
16,3.616530e-05,7.237120e-08
Total,,,
Latency (max),2.405182e-02,
Energy (sum),,2.715427e-04,
EDP, , ,6.531096e-06

OU Size: 4x40
layer,time_s,energy_J
1,1.014686e-03,1.683957e-06
2,2.164664e-02,3.592441e-05
3,1.082332e-02,1.796221e-05
4,2.164664e-02,3.592441e-05
5,1.082332e-02,1.796221e-05
6,2.164664e-02,3.592441e-05
7,2.164664e-02,3.592441e-05
8,1.082332e-02,1.796221e-05
9,1.708832e-02,3.592441e-05
10,1.379545e-02,3.592441e-05
11,5.411659e-03,8.981103e-06
12,5.127007e-03,8.981103e-06
13,2.903203e-03,8.981103e-06
14,3.739075e-06,1.995807e-08
15,4.288732e-05,3.258450e-07
16,3.254877e-05,7.955200e-08
Total,,,
Latency (max),2.164664e-02,
Energy (sum),,2.984857e-04,
EDP, , ,6.461211e-06

OU Size: 4x44
layer,time_s,energy_J
1,9.224418e-04,1.835960e-06
2,1.967876e-02,3.916714e-05
3,9.839380e-03,1.958357e-05
4,1.967876e-02,3.916714e-05
5,9.839380e-03,1.958357e-05
6,1.967876e-02,3.916714e-05
7,1.967876e-02,3.916714e-05
8,9.839380e-03,1.958357e-05
9,1.553484e-02,3.916714e-05
10,1.254132e-02,3.916714e-05
11,4.919690e-03,9.791786e-06
12,4.660915e-03,9.791786e-06
13,2.639276e-03,9.791786e-06
14,3.399159e-06,2.175960e-08
15,3.898847e-05,3.552575e-07
16,2.958979e-05,8.673280e-08
Total,,,
Latency (max),1.967876e-02,
Energy (sum),,3.254287e-04,
EDP, , ,6.404032e-06

OU Size: 4x48
layer,time_s,energy_J
1,8.455717e-04,1.987963e-06
2,1.803886e-02,4.240988e-05
3,9.019431e-03,2.120494e-05
4,1.803886e-02,4.240988e-05
5,9.019431e-03,2.120494e-05
6,1.803886e-02,4.240988e-05
7,1.803886e-02,4.240988e-05
8,9.019431e-03,2.120494e-05
9,1.424027e-02,4.240988e-05
10,1.149621e-02,4.240988e-05
11,4.509716e-03,1.060247e-05
12,4.272506e-03,1.060247e-05
13,2.419336e-03,1.060247e-05
14,3.115896e-06,2.356112e-08
15,3.573943e-05,3.846701e-07
16,2.712398e-05,9.391360e-08
Total,,,
Latency (max),1.803886e-02,
Energy (sum),,3.523716e-04,
EDP, , ,6.356383e-06

OU Size: 4x52
layer,time_s,energy_J
1,7.805277e-04,2.139966e-06
2,1.665126e-02,4.565261e-05
3,8.325629e-03,2.282631e-05
4,1.665126e-02,4.565261e-05
5,8.325629e-03,2.282631e-05
6,1.665126e-02,4.565261e-05
7,1.665126e-02,4.565261e-05
8,8.325629e-03,2.282631e-05
9,1.314486e-02,4.565261e-05
10,1.061189e-02,4.565261e-05
11,4.162814e-03,1.141315e-05
12,3.943851e-03,1.141315e-05
13,2.233233e-03,1.141315e-05
14,2.876211e-06,2.536265e-08
15,3.299025e-05,4.140827e-07
16,2.503752e-05,1.010944e-07
Total,,,
Latency (max),1.665126e-02,
Energy (sum),,3.793146e-04,
EDP, , ,6.316065e-06

OU Size: 4x56
layer,time_s,energy_J
1,7.247757e-04,2.291969e-06
2,1.546188e-02,4.889535e-05
3,7.730941e-03,2.444767e-05
4,1.546188e-02,4.889535e-05
5,7.730941e-03,2.444767e-05
6,1.546188e-02,4.889535e-05
7,1.546188e-02,4.889535e-05
8,7.730941e-03,2.444767e-05
9,1.220594e-02,4.889535e-05
10,9.853895e-03,4.889535e-05
11,3.865471e-03,1.222384e-05
12,3.662148e-03,1.222384e-05
13,2.073716e-03,1.222384e-05
14,2.670768e-06,2.716418e-08
15,3.063380e-05,4.434952e-07
16,2.324912e-05,1.082752e-07
Total,,,
Latency (max),1.546188e-02,
Energy (sum),,4.062575e-04,
EDP, , ,6.281506e-06

OU Size: 4x60
layer,time_s,energy_J
1,6.764573e-04,2.443973e-06
2,1.443109e-02,5.213808e-05
3,7.215545e-03,2.606904e-05
4,1.443109e-02,5.213808e-05
5,7.215545e-03,2.606904e-05
6,1.443109e-02,5.213808e-05
7,1.443109e-02,5.213808e-05
8,7.215545e-03,2.606904e-05
9,1.139221e-02,5.213808e-05
10,9.196969e-03,5.213808e-05
11,3.607773e-03,1.303452e-05
12,3.418004e-03,1.303452e-05
13,1.935469e-03,1.303452e-05
14,2.492716e-06,2.896570e-08
15,2.859155e-05,4.729078e-07
16,2.169918e-05,1.154560e-07
Total,,,
Latency (max),1.443109e-02,
Energy (sum),,4.332005e-04,
EDP, , ,6.251555e-06

OU Size: 4x64
layer,time_s,energy_J
1,6.341788e-04,2.595976e-06
2,1.352915e-02,5.538082e-05
3,6.764573e-03,2.769041e-05
4,1.352915e-02,5.538082e-05
5,6.764573e-03,2.769041e-05
6,1.352915e-02,5.538082e-05
7,1.352915e-02,5.538082e-05
8,6.764573e-03,2.769041e-05
9,1.068020e-02,5.538082e-05
10,8.622158e-03,5.538082e-05
11,3.382287e-03,1.384520e-05
12,3.204379e-03,1.384520e-05
13,1.814502e-03,1.384520e-05
14,2.336922e-06,3.076723e-08
15,2.680458e-05,5.023203e-07
16,2.034298e-05,1.226368e-07
Total,,,
Latency (max),1.352915e-02,
Energy (sum),,4.601434e-04,
EDP, , ,6.225348e-06

OU Size: 4x68
layer,time_s,energy_J
1,5.968741e-04,2.747979e-06
2,1.273331e-02,5.862355e-05
3,6.366657e-03,2.931178e-05
4,1.273331e-02,5.862355e-05
5,6.366657e-03,2.931178e-05
6,1.273331e-02,5.862355e-05
7,1.273331e-02,5.862355e-05
8,6.366657e-03,2.931178e-05
9,1.005195e-02,5.862355e-05
10,8.114973e-03,5.862355e-05
11,3.183329e-03,1.465589e-05
12,3.015886e-03,1.465589e-05
13,1.707767e-03,1.465589e-05
14,2.199456e-06,3.256875e-08
15,2.522784e-05,5.317329e-07
16,1.914634e-05,1.298176e-07
Total,,,
Latency (max),1.273331e-02,
Energy (sum),,4.870864e-04,
EDP, , ,6.202224e-06

OU Size: 4x72
layer,time_s,energy_J
1,5.637145e-04,2.899982e-06
2,1.202591e-02,6.186629e-05
3,6.012954e-03,3.093314e-05
4,1.202591e-02,6.186629e-05
5,6.012954e-03,3.093314e-05
6,1.202591e-02,6.186629e-05
7,1.202591e-02,6.186629e-05
8,6.012954e-03,3.093314e-05
9,9.493512e-03,6.186629e-05
10,7.664141e-03,6.186629e-05
11,3.006477e-03,1.546657e-05
12,2.848337e-03,1.546657e-05
13,1.612891e-03,1.546657e-05
14,2.077264e-06,3.437028e-08
15,2.382629e-05,5.611454e-07
16,1.808265e-05,1.369984e-07
Total,,,
Latency (max),1.202591e-02,
Energy (sum),,5.140294e-04,
EDP, , ,6.181670e-06

OU Size: 4x76
layer,time_s,energy_J
1,5.340453e-04,3.051985e-06
2,1.139297e-02,6.510902e-05
3,5.696483e-03,3.255451e-05
4,1.139297e-02,6.510902e-05
5,5.696483e-03,3.255451e-05
6,1.139297e-02,6.510902e-05
7,1.139297e-02,6.510902e-05
8,5.696483e-03,3.255451e-05
9,8.993853e-03,6.510902e-05
10,7.260765e-03,6.510902e-05
11,2.848241e-03,1.627725e-05
12,2.698425e-03,1.627725e-05
13,1.528002e-03,1.627725e-05
14,1.967934e-06,3.617180e-08
15,2.257227e-05,5.905580e-07
16,1.713093e-05,1.441792e-07
Total,,,
Latency (max),1.139297e-02,
Energy (sum),,5.409723e-04,
EDP, , ,6.163279e-06

OU Size: 4x80
layer,time_s,energy_J
1,5.073430e-04,3.203988e-06
2,1.082332e-02,6.835175e-05
3,5.411659e-03,3.417588e-05
4,1.082332e-02,6.835175e-05
5,5.411659e-03,3.417588e-05
6,1.082332e-02,6.835175e-05
7,1.082332e-02,6.835175e-05
8,5.411659e-03,3.417588e-05
9,8.544161e-03,6.835175e-05
10,6.897727e-03,6.835175e-05
11,2.705829e-03,1.708794e-05
12,2.563503e-03,1.708794e-05
13,1.451602e-03,1.708794e-05
14,1.869537e-06,3.797333e-08
15,2.144366e-05,6.199706e-07
16,1.627439e-05,1.513600e-07
Total,,,
Latency (max),1.082332e-02,
Energy (sum),,5.679153e-04,
EDP, , ,6.146727e-06

OU Size: 4x84
layer,time_s,energy_J
1,4.831838e-04,3.355992e-06
2,1.030792e-02,7.159449e-05
3,5.153961e-03,3.579724e-05
