Rows,Cols,Latency,Energy,EDP
16,72,8.768892e-04,2.402534e-03,1.067452e-03
16,76,8.307371e-04,2.454763e-03,9.788728e-04
16,80,7.892002e-04,2.506992e-03,9.022291e-04
16,84,7.516193e-04,2.559221e-03,8.353974e-04
16,88,7.174548e-04,2.611450e-03,7.767124e-04
16,92,6.862611e-04,2.663679e-03,7.248533e-04
16,96,6.576669e-04,2.715908e-03,6.787604e-04
16,100,6.313602e-04,2.768137e-03,6.375753e-04
16,104,6.070771e-04,2.820366e-03,6.005963e-04
16,108,5.845928e-04,2.872595e-03,5.672451e-04
16,112,5.637145e-04,2.924824e-03,5.370412e-04
16,116,5.442760e-04,2.977053e-03,5.095825e-04
16,120,5.261335e-04,3.029282e-03,4.845305e-04
16,124,5.091614e-04,3.081511e-03,4.615983e-04
16,128,4.932502e-04,3.133740e-03,4.405416e-04
20,4,1.262720e-02,1.880244e-03,1.732280e-01
20,8,6.313602e-03,1.932473e-03,4.450997e-02
20,12,4.209068e-03,1.984702e-03,2.031686e-02
20,16,3.156801e-03,2.036931e-03,1.172898e-02
20,20,2.525441e-03,2.089160e-03,7.699022e-03
20,24,2.104534e-03,2.141389e-03,5.480207e-03
20,28,1.803886e-03,2.193618e-03,4.124476e-03
20,32,1.578400e-03,2.245847e-03,3.232988e-03
20,36,1.403023e-03,2.298076e-03,2.613866e-03
20,40,1.262720e-03,2.350305e-03,2.165350e-03
20,44,1.147928e-03,2.402534e-03,1.829313e-03
20,48,1.052267e-03,2.454763e-03,1.570547e-03
20,52,9.713234e-04,2.506992e-03,1.366690e-03
20,56,9.019431e-04,2.559221e-03,1.202972e-03
20,60,8.418136e-04,2.611450e-03,1.069309e-03
20,64,7.892002e-04,2.663679e-03,9.586185e-04
20,68,7.427767e-04,2.715908e-03,8.658070e-04
20,72,7.015113e-04,2.768137e-03,7.871300e-04
20,76,6.645897e-04,2.820366e-03,7.197839e-04
20,80,6.313602e-04,2.872595e-03,6.616347e-04
20,84,6.012954e-04,2.924824e-03,6.110335e-04
20,88,5.739638e-04,2.977053e-03,5.666894e-04
20,92,5.490089e-04,3.029282e-03,5.275795e-04
20,96,5.261335e-04,3.081511e-03,4.928844e-04
20,100,5.050882e-04,3.133740e-03,4.619413e-04
20,104,4.856617e-04,3.185969e-03,4.342089e-04
20,108,4.676742e-04,3.238198e-03,4.092416e-04
20,112,4.509716e-04,3.290427e-03,3.866696e-04
20,116,4.354208e-04,3.342656e-03,3.661842e-04
20,120,4.209068e-04,3.394885e-03,3.475253e-04
20,124,4.073292e-04,3.447114e-03,3.304731e-04
20,128,3.946001e-04,3.499343e-03,3.148404e-04
24,4,1.052267e-02,2.245847e-03,1.436883e-01
24,8,5.261335e-03,2.298076e-03,3.675748e-02
24,12,3.507557e-03,2.350305e-03,1.670795e-02
24,16,2.630667e-03,2.402534e-03,9.607070e-03
24,20,2.104534e-03,2.454763e-03,6.282188e-03
24,24,1.753778e-03,2.506992e-03,4.455453e-03
24,28,1.503239e-03,2.559221e-03,3.341589e-03
24,32,1.315334e-03,2.611450e-03,2.610617e-03
24,36,1.169186e-03,2.663679e-03,2.103964e-03
24,40,1.052267e-03,2.715908e-03,1.737627e-03
24,44,9.566064e-04,2.768137e-03,1.463671e-03
