Layer: 1, Crossbars required: 1
OU Row: 20, OU Col: 28, OU required: 30, Latency: 290433.56797643076, Energy: 5808671.359528615, Power Density: 0.00 W, TOPS: 2.59e-02, EPM: 5.48e-15
OU Row: 20, OU Col: 32, OU required: 26, Latency: 287667.53399570286, Energy: 5753350.679914057, Power Density: 0.00 W, TOPS: 2.96e-02, EPM: 5.50e-15
OU Row: 24, OU Col: 4, OU required: 171, Latency: 301066.977647354, Energy: 7225607.463536496, Power Density: 0.00 W, TOPS: 4.44e-03, EPM: 6.43e-15
OU Row: 24, OU Col: 8, OU required: 86, Latency: 302827.60324763093, Energy: 7267862.477943143, Power Density: 0.00 W, TOPS: 8.88e-03, EPM: 6.45e-15
OU Row: 24, OU Col: 12, OU required: 57, Latency: 301066.97764735395, Energy: 7225607.463536495, Power Density: 0.00 W, TOPS: 1.33e-02, EPM: 6.47e-15
OU Row: 24, OU Col: 16, OU required: 43, Latency: 302827.60324763093, Energy: 7267862.477943143, Power Density: 0.00 W, TOPS: 1.78e-02, EPM: 6.49e-15
OU Row: 24, OU Col: 20, OU required: 35, Latency: 308109.48004846164, Energy: 7394627.52116308, Power Density: 0.00 W, TOPS: 2.22e-02, EPM: 6.51e-15
OU Row: 24, OU Col: 24, OU required: 29, Latency: 306348.8544481848, Energy: 7352372.506756434, Power Density: 0.00 W, TOPS: 2.66e-02, EPM: 6.53e-15
OU Row: 24, OU Col: 28, OU required: 25, Latency: 308109.4800484617, Energy: 7394627.521163081, Power Density: 0.00 W, TOPS: 3.11e-02, EPM: 6.55e-15
OU Row: 24, OU Col: 32, OU required: 22, Latency: 309870.1056487386, Energy: 7436882.535569727, Power Density: 0.00 W, TOPS: 3.55e-02, EPM: 6.57e-15
OU Row: 28, OU Col: 4, OU required: 147, Latency: 316593.1657470255, Energy: 8864608.640916714, Power Density: 0.00 W, TOPS: 5.18e-03, EPM: 7.50e-15
OU Row: 28, OU Col: 8, OU required: 74, Latency: 318746.86075210734, Energy: 8924912.101059005, Power Density: 0.00 W, TOPS: 1.04e-02, EPM: 7.52e-15
OU Row: 28, OU Col: 12, OU required: 49, Latency: 316593.1657470256, Energy: 8864608.640916716, Power Density: 0.00 W, TOPS: 1.55e-02, EPM: 7.54e-15
OU Row: 28, OU Col: 16, OU required: 37, Latency: 318746.86075210734, Energy: 8924912.101059005, Power Density: 0.00 W, TOPS: 2.07e-02, EPM: 7.56e-15
OU Row: 28, OU Col: 20, OU required: 30, Latency: 323054.250762271, Energy: 9045519.021343589, Power Density: 0.00 W, TOPS: 2.59e-02, EPM: 7.58e-15
OU Row: 28, OU Col: 24, OU required: 25, Latency: 323054.250762271, Energy: 9045519.021343589, Power Density: 0.00 W, TOPS: 3.11e-02, EPM: 7.60e-15
OU Row: 28, OU Col: 28, OU required: 21, Latency: 316593.1657470256, Energy: 8864608.640916716, Power Density: 0.00 W, TOPS: 3.63e-02, EPM: 7.62e-15
OU Row: 28, OU Col: 32, OU required: 19, Latency: 327361.6407724346, Energy: 9166125.94162817, Power Density: 0.00 W, TOPS: 4.14e-02, EPM: 7.64e-15
OU Row: 32, OU Col: 4, OU required: 128, Latency: 327680.0, Energy: 10485760.0, Power Density: 0.00 W, TOPS: 5.92e-03, EPM: 8.56e-15
OU Row: 32, OU Col: 8, OU required: 64, Latency: 327680.0, Energy: 10485760.0, Power Density: 0.00 W, TOPS: 1.18e-02, EPM: 8.59e-15
OU Row: 32, OU Col: 12, OU required: 43, Latency: 330240.0, Energy: 10567680.0, Power Density: 0.00 W, TOPS: 1.78e-02, EPM: 8.61e-15
OU Row: 32, OU Col: 16, OU required: 32, Latency: 327680.0, Energy: 10485760.0, Power Density: 0.00 W, TOPS: 2.37e-02, EPM: 8.63e-15
OU Row: 32, OU Col: 20, OU required: 26, Latency: 332800.0, Energy: 10649600.0, Power Density: 0.00 W, TOPS: 2.96e-02, EPM: 8.65e-15
OU Row: 32, OU Col: 24, OU required: 22, Latency: 337920.0, Energy: 10813440.0, Power Density: 0.00 W, TOPS: 3.55e-02, EPM: 8.67e-15
OU Row: 32, OU Col: 28, OU required: 19, Latency: 340480.0, Energy: 10895360.0, Power Density: 0.00 W, TOPS: 4.14e-02, EPM: 8.69e-15
OU Row: 32, OU Col: 32, OU required: 16, Latency: 327680.0, Energy: 10485760.0, Power Density: 0.00 W, TOPS: 4.74e-02, EPM: 8.71e-15
OU Row: 36, OU Col: 4, OU required: 114, Latency: 339477.95529470796, Energy: 12221206.390609486, Power Density: 0.00 W, TOPS: 6.66e-03, EPM: 9.63e-15
OU Row: 36, OU Col: 8, OU required: 57, Latency: 339477.95529470796, Energy: 12221206.390609486, Power Density: 0.00 W, TOPS: 1.33e-02, EPM: 9.65e-15
OU Row: 36, OU Col: 12, OU required: 38, Latency: 339477.955294708, Energy: 12221206.390609488, Power Density: 0.00 W, TOPS: 2.00e-02, EPM: 9.67e-15
OU Row: 36, OU Col: 16, OU required: 29, Latency: 345433.7088963695, Energy: 12435613.520269303, Power Density: 0.00 W, TOPS: 2.66e-02, EPM: 9.69e-15
OU Row: 36, OU Col: 20, OU required: 23, Latency: 342455.83209553873, Energy: 12328409.955439394, Power Density: 0.00 W, TOPS: 3.33e-02, EPM: 9.71e-15
OU Row: 36, OU Col: 24, OU required: 19, Latency: 339477.955294708, Energy: 12221206.390609488, Power Density: 0.00 W, TOPS: 4.00e-02, EPM: 9.74e-15
OU Row: 36, OU Col: 28, OU required: 17, Latency: 354367.33929886186, Energy: 12757224.214759028, Power Density: 0.00 W, TOPS: 4.66e-02, EPM: 9.76e-15
OU Row: 36, OU Col: 32, OU required: 15, Latency: 357345.21609969257, Energy: 12864427.779588932, Power Density: 0.00 W, TOPS: 5.33e-02, EPM: 9.78e-15
OU Row: 40, OU Col: 4, OU required: 103, Latency: 350821.5000149749, Energy: 14032860.000598997, Power Density: 0.00 W, TOPS: 7.40e-03, EPM: 1.07e-14
OU Row: 40, OU Col: 8, OU required: 52, Latency: 354227.53399570286, Energy: 14169101.359828115, Power Density: 0.00 W, TOPS: 1.48e-02, EPM: 1.07e-14
OU Row: 40, OU Col: 12, OU required: 35, Latency: 357633.56797643076, Energy: 14305342.71905723, Power Density: 0.00 W, TOPS: 2.22e-02, EPM: 1.07e-14
OU Row: 40, OU Col: 16, OU required: 26, Latency: 354227.53399570286, Energy: 14169101.359828115, Power Density: 0.00 W, TOPS: 2.96e-02, EPM: 1.08e-14
OU Row: 40, OU Col: 20, OU required: 21, Latency: 357633.5679764308, Energy: 14305342.719057232, Power Density: 0.00 W, TOPS: 3.70e-02, EPM: 1.08e-14
OU Row: 40, OU Col: 24, OU required: 18, Latency: 367851.6699186145, Energy: 14714066.79674458, Power Density: 0.00 W, TOPS: 4.44e-02, EPM: 1.08e-14
OU Row: 40, OU Col: 28, OU required: 15, Latency: 357633.56797643076, Energy: 14305342.71905723, Power Density: 0.00 W, TOPS: 5.18e-02, EPM: 1.08e-14
OU Row: 40, OU Col: 32, OU required: 13, Latency: 354227.53399570286, Energy: 14169101.359828115, Power Density: 0.00 W, TOPS: 5.92e-02, EPM: 1.08e-14
OU Row: 44, OU Col: 4, OU required: 94, Latency: 361283.34679494175, Energy: 15896467.258977437, Power Density: 0.00 W, TOPS: 8.14e-03, EPM: 1.18e-14
OU Row: 44, OU Col: 8, OU required: 47, Latency: 361283.34679494175, Energy: 15896467.258977437, Power Density: 0.00 W, TOPS: 1.63e-02, EPM: 1.18e-14
OU Row: 44, OU Col: 12, OU required: 32, Latency: 368970.2265139831, Energy: 16234689.966615256, Power Density: 0.00 W, TOPS: 2.44e-02, EPM: 1.18e-14
OU Row: 44, OU Col: 16, OU required: 24, Latency: 368970.2265139831, Energy: 16234689.966615256, Power Density: 0.00 W, TOPS: 3.26e-02, EPM: 1.18e-14
OU Row: 44, OU Col: 20, OU required: 19, Latency: 365126.7866544624, Energy: 16065578.612796346, Power Density: 0.00 W, TOPS: 4.07e-02, EPM: 1.19e-14
OU Row: 44, OU Col: 24, OU required: 16, Latency: 368970.2265139831, Energy: 16234689.966615256, Power Density: 0.00 W, TOPS: 4.88e-02, EPM: 1.19e-14
OU Row: 44, OU Col: 28, OU required: 14, Latency: 376657.10623302445, Energy: 16572912.674253076, Power Density: 0.00 W, TOPS: 5.70e-02, EPM: 1.19e-14
OU Row: 44, OU Col: 32, OU required: 12, Latency: 368970.2265139831, Energy: 16234689.966615256, Power Density: 0.00 W, TOPS: 6.51e-02, EPM: 1.19e-14
OU Row: 48, OU Col: 4, OU required: 86, Latency: 368875.60324763093, Energy: 17706028.955886286, Power Density: 0.00 W, TOPS: 8.88e-03, EPM: 1.28e-14
OU Row: 48, OU Col: 8, OU required: 43, Latency: 368875.60324763093, Energy: 17706028.955886286, Power Density: 0.00 W, TOPS: 1.78e-02, EPM: 1.29e-14
OU Row: 48, OU Col: 12, OU required: 29, Latency: 373164.8544481848, Energy: 17911913.01351287, Power Density: 0.00 W, TOPS: 2.66e-02, EPM: 1.29e-14
OU Row: 48, OU Col: 16, OU required: 22, Latency: 377454.1056487387, Energy: 18117797.071139455, Power Density: 0.00 W, TOPS: 3.55e-02, EPM: 1.29e-14
OU Row: 48, OU Col: 20, OU required: 18, Latency: 386032.60804984625, Energy: 18529565.18639262, Power Density: 0.00 W, TOPS: 4.44e-02, EPM: 1.29e-14
