ou_row,ou_col,Latency,Power Density,TOPS,Energy_per_Mac
64,64,1332.0,0.12753125,2.1875,5.83e-14
64,128,684.0,0.37778125000000007,4.375,8.635e-14
64,192,480.0,0.75075,6.5625,1.144e-13
64,256,354.0,1.2464375,8.75,1.4245000000000001e-13
128,64,798.0,0.38740625000000006,4.375,8.855000000000001e-14
128,128,413.0,1.02025,8.75,1.166e-13
128,192,308.0,1.89853125,13.125,1.4465e-13
128,256,217.0,3.0222500000000005,17.5,1.727e-13
192,64,606.7970000576925,0.779625,6.5625,1.188e-13
192,128,333.73835003173076,1.9274062500000004,13.125,1.4685000000000003e-13
192,192,235.1338375223559,3.4433437500000004,19.6875,1.7490000000000002e-13
192,256,212.3789500201924,5.3274375,26.25,2.0295e-13
256,64,472.0,1.3041875,8.75,1.4905e-13
256,128,248.0,3.0992500000000005,17.5,1.7710000000000002e-13
256,192,224.0,5.3851875,26.25,2.0515000000000001e-13
