ou_row,ou_col,Latency,Energy_per_Mac,TOPS,Power Density
4,4,5392.0,2.71875e-14,0.029296875,0.0007965087890625
4,8,5392.0,3.05859375e-14,0.05859375,0.0017921447753906248
4,12,5400.0,3.3984375e-14,0.087890625,0.002986907958984375
4,16,5408.0,3.73828125e-14,0.1171875,0.00438079833984375
4,20,5400.0,4.078125e-14,0.146484375,0.00597381591796875
4,24,5424.0,4.4179687500000003e-14,0.17578125,0.0077659606933593766
4,28,5432.0,4.7578125e-14,0.205078125,0.009757232666015626
4,32,5440.0,5.09765625e-14,0.234375,0.0119476318359375
4,36,5400.0,5.4375e-14,0.263671875,0.014337158203124999
4,40,5440.0,5.77734375e-14,0.29296875,0.016925811767578125
4,44,5456.0,6.1171875e-14,0.322265625,0.019713592529296876
4,48,5472.0,6.45703125e-14,0.3515625,0.02270050048828125
4,52,5408.0,6.796875e-14,0.380859375,0.025886535644531247
4,56,5488.0,7.13671875e-14,0.41015625,0.02927169799804687
4,60,5400.0,7.4765625e-14,0.439453125,0.032855987548828125
4,64,5504.0,7.81640625e-14,0.46875,0.036639404296875
4,68,5440.0,8.156250000000001e-14,0.498046875,0.04062194824218751
4,72,5472.0,8.496093750000001e-14,0.52734375,0.04480361938476563
4,76,5472.0,8.835937500000001e-14,0.556640625,0.04918441772460938
4,80,5440.0,9.17578125e-14,0.5859375,0.05376434326171875
4,84,5544.0,9.515625e-14,0.615234375,0.058543395996093754
4,88,5456.0,9.85546875e-14,0.64453125,0.06352157592773437
4,92,5520.0,1.01953125e-13,0.673828125,0.06869888305664062
4,96,5568.0,1.0535156249999999e-13,0.703125,0.07407531738281249
4,100,5400.0,1.0874999999999999e-13,0.732421875,0.07965087890625
4,104,5408.0,1.1214843750000001e-13,0.76171875,0.08542556762695314
4,108,5400.0,1.15546875e-13,0.791015625,0.09139938354492189
4,112,5600.0,1.189453125e-13,0.8203125,0.09757232666015626
4,116,5568.0,1.2234375e-13,0.849609375,0.10394439697265626
4,120,5520.0,1.257421875e-13,0.87890625,0.11051559448242188
