Layer #	Weight Sparsity (%)	OU Config	OU Size
1	0.05	256 x 32	8192
2	0.5	128 x 32	4096
3	0.52	128 x 32	4096
4	0.51	128 x 32	4096
5	0.55	128 x 32	4096
6	0.51	128 x 32	4096
7	0.57	128 x 32	4096
8	0.52	128 x 32	4096
9	0.63	128 x 32	4096
10	0.71	128 x 32	4096
11	0.81	64 x 32	2048
12	0.85	64 x 32	2048
13	0.89	32 x 32	1024
14	0.6	128 x 32	4096
15	0.65	128 x 32	4096
16	0.55	128 x 32	4096
