Layer #	Weight Sparsity (%)	OU Config	OU Size
1	0.93	8 x 32	256
2	0.7000000000000001	32 x 32	1024
3	0.8	16 x 32	512
4	0.91	8 x 32	256
5	0.9400000000000001	8 x 32	256
6	0.91	8 x 32	256
7	0.89	8 x 32	256
8	0.89	8 x 32	256
9	0.9	8 x 32	256
10	0.92	8 x 32	256
11	0.92	8 x 32	256
12	0.91	8 x 32	256
13	0.9	8 x 32	256
14	0.91	8 x 32	256
15	0.15	64 x 32	2048
16	0.17	64 x 32	2048
17	0.16	64 x 32	2048
18	0.1	64 x 32	2048
