Layer #	Weight Sparsity (%)	OU Config	OU Size
1	0.93	16 x 32	512
2	0.7000000000000001	64 x 32	2048
3	0.8	32 x 32	1024
4	0.91	16 x 32	512
5	0.9400000000000001	8 x 32	256
6	0.91	16 x 32	512
7	0.89	16 x 32	512
8	0.89	16 x 32	512
9	0.9	16 x 32	512
10	0.92	16 x 32	512
11	0.92	16 x 32	512
12	0.91	16 x 32	512
13	0.9	16 x 32	512
14	0.91	16 x 32	512
15	0.15	128 x 32	4096
16	0.17	128 x 32	4096
17	0.16	128 x 32	4096
18	0.1	128 x 32	4096
