Layer #	Weight Sparsity (%)	OU Config	OU Size
1	0.05	512 x 32	16384
2	0.5	512 x 32	16384
3	0.52	512 x 32	16384
4	0.51	512 x 32	16384
5	0.55	512 x 32	16384
6	0.51	512 x 32	16384
7	0.57	512 x 32	16384
8	0.52	512 x 32	16384
9	0.63	512 x 32	16384
10	0.71	512 x 32	16384
11	0.81	256 x 32	8192
12	0.85	256 x 32	8192
13	0.89	128 x 32	4096
14	0.6	512 x 32	16384
15	0.65	512 x 32	16384
16	0.55	512 x 32	16384
