Layer #	Weight Sparsity (%)	OU Config	OU Size
1	0.05	64 x 32	2048
2	0.5	32 x 32	1024
3	0.52	32 x 32	1024
4	0.51	32 x 32	1024
5	0.55	32 x 32	1024
6	0.51	32 x 32	1024
7	0.57	32 x 32	1024
8	0.52	32 x 32	1024
9	0.63	32 x 32	1024
10	0.71	32 x 32	1024
11	0.81	16 x 32	512
12	0.85	16 x 32	512
13	0.89	8 x 32	256
14	0.6	32 x 32	1024
15	0.65	32 x 32	1024
16	0.55	32 x 32	1024
