Layer #	Weight Sparsity (%)	OU Config	OU Size
1	0.05	128 x 32	4096
2	0.5	64 x 32	2048
3	0.52	64 x 32	2048
4	0.51	64 x 32	2048
5	0.55	64 x 32	2048
6	0.51	64 x 32	2048
7	0.57	64 x 32	2048
8	0.52	64 x 32	2048
9	0.63	64 x 32	2048
10	0.71	64 x 32	2048
11	0.81	32 x 32	1024
12	0.85	32 x 32	1024
13	0.89	16 x 32	512
14	0.6	64 x 32	2048
15	0.65	64 x 32	2048
16	0.55	64 x 32	2048
