Layer #	Weight Sparsity (%)	OU Config	OU Size
1	0.93	32 x 32	1024
2	0.7000000000000001	128 x 32	4096
3	0.8	64 x 32	2048
4	0.91	32 x 32	1024
5	0.9400000000000001	16 x 32	512
6	0.91	32 x 32	1024
7	0.89	32 x 32	1024
8	0.89	32 x 32	1024
9	0.9	32 x 32	1024
10	0.92	32 x 32	1024
11	0.92	32 x 32	1024
12	0.91	32 x 32	1024
13	0.9	32 x 32	1024
14	0.91	32 x 32	1024
15	0.15	256 x 32	8192
16	0.17	256 x 32	8192
17	0.16	256 x 32	8192
18	0.1	256 x 32	8192
