Layer #	Weight Sparsity (%)	OU Config	OU Size
1	0.93	128 x 32	4096
2	0.7000000000000001	512 x 32	16384
3	0.8	256 x 32	8192
4	0.91	128 x 32	4096
5	0.9400000000000001	128 x 32	4096
6	0.91	128 x 32	4096
7	0.89	128 x 32	4096
8	0.89	128 x 32	4096
9	0.9	128 x 32	4096
10	0.92	128 x 32	4096
11	0.92	128 x 32	4096
12	0.91	128 x 32	4096
13	0.9	128 x 32	4096
14	0.91	128 x 32	4096
15	0.15	512 x 32	16384
16	0.17	512 x 32	16384
17	0.16	512 x 32	16384
18	0.1	512 x 32	16384
