Layer #,Layer,Weights(KB),MACs,Weight_Sparsity(0-1),Activation_Sparsity(0-1),Activations(KB)
1,conv1,73.5,118013952,0.012223639455782313,1.2456154336734693e-06,6272.0
2,layer1.0.conv1,32.0,12845056,0.010986328125,0.0,1568.0
3,layer1.0.conv2,288.0,115605504,0.024386935763888888,0.0,1568.0
4,layer1.0.conv3,128.0,51380224,0.0673828125,0.0390625,6272.0
5,layer1.0.downsample.0,128.0,51380224,0.05810546875,0.0390625,6272.0
6,layer1.1.conv1,128.0,51380224,0.0634765625,0.0,1568.0
7,layer1.1.conv2,288.0,115605504,0.019287109375,0.0,1568.0
8,layer1.1.conv3,128.0,51380224,0.0196533203125,0.0,6272.0
9,layer1.2.conv1,128.0,51380224,0.01483154296875,0.0,1568.0
10,layer1.2.conv2,288.0,115605504,0.015462239583333334,4.982461734693877e-06,1568.0
11,layer1.2.conv3,128.0,51380224,0.03631591796875,0.0,6272.0
12,layer2.0.conv1,256.0,102760448,0.014801025390625,0.0,3136.0
13,layer2.0.conv2,1152.0,115605504,0.022135416666666668,0.0,784.0
14,layer2.0.conv3,512.0,51380224,0.0303955078125,0.001953125,3136.0
15,layer2.0.downsample.0,1024.0,102760448,0.033538818359375,0.001955616230867347,3136.0
16,layer2.1.conv1,512.0,51380224,0.0339202880859375,0.0,784.0
17,layer2.1.conv2,1152.0,115605504,0.031351725260416664,0.0,784.0
18,layer2.1.conv3,512.0,51380224,0.028289794921875,2.4912308673469386e-06,3136.0
19,layer2.2.conv1,512.0,51380224,0.0337371826171875,0.0078125,784.0
20,layer2.2.conv2,1152.0,115605504,0.03533935546875,0.0,784.0
21,layer2.2.conv3,512.0,51380224,0.027862548828125,0.0,3136.0
22,layer2.3.conv1,512.0,51380224,0.0234527587890625,0.0,784.0
23,layer2.3.conv2,1152.0,115605504,0.028584798177083332,9.964923469387754e-06,784.0
24,layer2.3.conv3,512.0,51380224,0.0435028076171875,7.473692602040816e-06,3136.0
25,layer3.0.conv1,1024.0,102760448,0.0206298828125,0.0,1568.0
26,layer3.0.conv2,4608.0,115605504,0.03381008572048611,0.0,392.0
27,layer3.0.conv3,2048.0,51380224,0.03469085693359375,0.0,1568.0
28,layer3.0.downsample.0,4096.0,102760448,0.045993804931640625,0.0,1568.0
29,layer3.1.conv1,2048.0,51380224,0.058666229248046875,0.0,392.0
30,layer3.1.conv2,4608.0,115605504,0.04960801866319445,0.0,392.0
31,layer3.1.conv3,2048.0,51380224,0.07927703857421875,4.982461734693877e-06,1568.0
32,layer3.2.conv1,2048.0,51380224,0.047977447509765625,0.0,392.0
33,layer3.2.conv2,4608.0,115605504,0.0485992431640625,0.0,392.0
34,layer3.2.conv3,2048.0,51380224,0.07112503051757812,2.491230867346939e-05,1568.0
35,layer3.3.conv1,2048.0,51380224,0.04737091064453125,0.0,392.0
36,layer3.3.conv2,4608.0,115605504,0.0460968017578125,1.992984693877551e-05,392.0
37,layer3.3.conv3,2048.0,51380224,0.0449371337890625,0.0,1568.0
38,layer3.4.conv1,2048.0,51380224,0.052867889404296875,0.0,392.0
39,layer3.4.conv2,4608.0,115605504,0.04564242892795139,1.992984693877551e-05,392.0
40,layer3.4.conv3,2048.0,51380224,0.11882400512695312,3.487723214285714e-05,1568.0
41,layer3.5.conv1,2048.0,51380224,0.044830322265625,0.0,392.0
42,layer3.5.conv2,4608.0,115605504,0.04620022243923611,0.0,392.0
43,layer3.5.conv3,2048.0,51380224,0.0459136962890625,0.0,1568.0
44,layer3.6.conv1,2048.0,51380224,0.04668426513671875,0.0,392.0
45,layer3.6.conv2,4608.0,115605504,0.046088324652777776,0.0,392.0
46,layer3.6.conv3,2048.0,51380224,0.0884552001953125,4.982461734693877e-06,1568.0
47,layer3.7.conv1,2048.0,51380224,0.040569305419921875,0.0,392.0
48,layer3.7.conv2,4608.0,115605504,0.04513210720486111,0.0,392.0
49,layer3.7.conv3,2048.0,51380224,0.052734375,0.0,1568.0
50,layer3.8.conv1,2048.0,51380224,0.03850555419921875,1.992984693877551e-05,392.0
51,layer3.8.conv2,4608.0,115605504,0.04885694715711805,0.0,392.0
52,layer3.8.conv3,2048.0,51380224,0.047962188720703125,0.0,1568.0
53,layer3.9.conv1,2048.0,51380224,0.03670501708984375,0.0,392.0
54,layer3.9.conv2,4608.0,115605504,0.046591864691840276,0.0,392.0
55,layer3.9.conv3,2048.0,51380224,0.04189300537109375,0.0,1568.0
56,layer3.10.conv1,2048.0,51380224,0.0389862060546875,0.0,392.0
57,layer3.10.conv2,4608.0,115605504,0.052134195963541664,0.0,392.0
58,layer3.10.conv3,2048.0,51380224,0.059803009033203125,9.964923469387754e-06,1568.0
59,layer3.11.conv1,2048.0,51380224,0.040760040283203125,0.0,392.0
60,layer3.11.conv2,4608.0,115605504,0.047799004448784724,0.0,392.0
61,layer3.11.conv3,2048.0,51380224,0.06505203247070312,0.0,1568.0
62,layer3.12.conv1,2048.0,51380224,0.037174224853515625,0.0,392.0
63,layer3.12.conv2,4608.0,115605504,0.04750230577256945,0.0,392.0
64,layer3.12.conv3,2048.0,51380224,0.042827606201171875,4.982461734693877e-06,1568.0
65,layer3.13.conv1,2048.0,51380224,0.036251068115234375,0.0,392.0
66,layer3.13.conv2,4608.0,115605504,0.04241604275173611,0.0,392.0
67,layer3.13.conv3,2048.0,51380224,0.04412841796875,0.0009865274234693877,1568.0
68,layer3.14.conv1,2048.0,51380224,0.035243988037109375,0.0,392.0
69,layer3.14.conv2,4608.0,115605504,0.04490831163194445,0.0,392.0
70,layer3.14.conv3,2048.0,51380224,0.051483154296875,0.0,1568.0
71,layer3.15.conv1,2048.0,51380224,0.03214263916015625,0.0,392.0
72,layer3.15.conv2,4608.0,115605504,0.04577297634548611,0.0,392.0
73,layer3.15.conv3,2048.0,51380224,0.03812408447265625,0.0,1568.0
74,layer3.16.conv1,2048.0,51380224,0.033870697021484375,0.0,392.0
75,layer3.16.conv2,4608.0,115605504,0.04834153917100695,0.0,392.0
76,layer3.16.conv3,2048.0,51380224,0.0360870361328125,9.964923469387754e-06,1568.0
77,layer3.17.conv1,2048.0,51380224,0.032535552978515625,0.0,392.0
78,layer3.17.conv2,4608.0,115605504,0.050147162543402776,0.0,392.0
79,layer3.17.conv3,2048.0,51380224,0.037067413330078125,4.982461734693877e-06,1568.0
80,layer3.18.conv1,2048.0,51380224,0.030185699462890625,0.0,392.0
81,layer3.18.conv2,4608.0,115605504,0.04964870876736111,1.992984693877551e-05,392.0
82,layer3.18.conv3,2048.0,51380224,0.034694671630859375,9.964923469387754e-06,1568.0
83,layer3.19.conv1,2048.0,51380224,0.02993011474609375,0.0,392.0
84,layer3.19.conv2,4608.0,115605504,0.04423692491319445,0.0,392.0
85,layer3.19.conv3,2048.0,51380224,0.039478302001953125,9.964923469387754e-06,1568.0
86,layer3.20.conv1,2048.0,51380224,0.03058624267578125,0.0,392.0
87,layer3.20.conv2,4608.0,115605504,0.04584927029079861,0.0,392.0
88,layer3.20.conv3,2048.0,51380224,0.03739166259765625,4.982461734693877e-06,1568.0
89,layer3.21.conv1,2048.0,51380224,0.035007476806640625,0.0,392.0
90,layer3.21.conv2,4608.0,115605504,0.054634941948784724,0.0,392.0
91,layer3.21.conv3,2048.0,51380224,0.041912078857421875,0.0,1568.0
92,layer3.22.conv1,2048.0,51380224,0.031524658203125,0.0,392.0
93,layer3.22.conv2,4608.0,115605504,0.050881279839409724,0.0,392.0
94,layer3.22.conv3,2048.0,51380224,0.039890289306640625,0.0,1568.0
95,layer4.0.conv1,4096.0,102760448,0.024135589599609375,0.0,784.0
96,layer4.0.conv2,18432.0,115605504,0.03928502400716146,0.0,196.0
97,layer4.0.conv3,8192.0,51380224,0.02961444854736328,9.964923469387754e-06,784.0
98,layer4.0.downsample.0,16384.0,102760448,0.03228569030761719,0.0,784.0
99,layer4.1.conv1,8192.0,51380224,0.03426647186279297,0.0,196.0
100,layer4.1.conv2,18432.0,115605504,0.0483597649468316,0.0,196.0
101,layer4.1.conv3,8192.0,51380224,0.03322315216064453,0.0,784.0
102,layer4.2.conv1,8192.0,51380224,0.04271697998046875,0.0,196.0
103,layer4.2.conv2,18432.0,115605504,0.05341974894205729,0.0,196.0
104,layer4.2.conv3,8192.0,51380224,0.03368568420410156,0.0,784.0
105,fc,16000.0,2048000,0.04802001953125,0.0,7.8125
