Layer #,Layer,Weights(KB),MACs,Weight_Sparsity(0-1),Activation_Sparsity(0-1),Activations(KB)
70,features.denseblock3.denselayer16.conv1,736.0,18464768,0.08727496603260869,0.3785977706299911,1127.0
71,features.denseblock3.denselayer16.conv2,288.0,7225344,0.041829427083333336,0.7865114795918368,196.0
72,features.denseblock3.denselayer17.conv1,768.0,19267584,0.06270345052083333,0.41048841411564624,1176.0
73,features.denseblock3.denselayer17.conv2,288.0,7225344,0.03795030381944445,0.7477678571428571,196.0
74,features.denseblock3.denselayer18.conv1,800.0,20070400,0.07720703125,0.4222448979591837,1225.0
75,features.denseblock3.denselayer18.conv2,288.0,7225344,0.037109375,0.8090720663265306,196.0
76,features.denseblock3.denselayer19.conv1,832.0,20873216,0.06282865084134616,0.4422402374411303,1274.0
77,features.denseblock3.denselayer19.conv2,288.0,7225344,0.037516276041666664,0.7299107142857143,196.0
78,features.denseblock3.denselayer20.conv1,864.0,21676032,0.06862160011574074,0.42290249433106575,1323.0
79,features.denseblock3.denselayer20.conv2,288.0,7225344,0.037434895833333336,0.8341039540816326,196.0
80,features.denseblock3.denselayer21.conv1,896.0,22478848,0.09920828683035714,0.4393050747084548,1372.0
81,features.denseblock3.denselayer21.conv2,288.0,7225344,0.034722222222222224,0.8215082908163265,196.0
82,features.denseblock3.denselayer22.conv1,928.0,23281664,0.12964709051724138,0.4451530612244898,1421.0
83,features.denseblock3.denselayer22.conv2,288.0,7225344,0.033013237847222224,0.8064014668367347,196.0
84,features.denseblock3.denselayer23.conv1,960.0,24084480,0.09318033854166667,0.43812712585034014,1470.0
85,features.denseblock3.denselayer23.conv2,288.0,7225344,0.03721788194444445,0.8864397321428571,196.0
86,features.denseblock3.denselayer24.conv1,992.0,24887296,0.10690996723790322,0.461642116524029,1519.0
87,features.denseblock3.denselayer24.conv2,288.0,7225344,0.037841796875,0.8239397321428571,196.0
88,features.transition3.conv,4096.0,102760448,0.03696632385253906,0.6112384406887755,1568.0
89,features.denseblock4.denselayer1.conv1,512.0,3211264,0.0364532470703125,0.5414939413265306,196.0
90,features.denseblock4.denselayer1.conv2,288.0,1806336,0.04673936631944445,0.8351403061224489,49.0
91,features.denseblock4.denselayer2.conv1,544.0,3411968,0.04928768382352941,0.5707908163265306,208.25
92,features.denseblock4.denselayer2.conv2,288.0,1806336,0.060791015625,0.8780293367346939,49.0
93,features.denseblock4.denselayer3.conv1,576.0,3612672,0.059326171875,0.5677083333333334,220.5
94,features.denseblock4.denselayer3.conv2,288.0,1806336,0.052978515625,0.8813775510204082,49.0
95,features.denseblock4.denselayer4.conv1,608.0,3813376,0.07511821546052631,0.5558203544575725,232.75
96,features.denseblock4.denselayer4.conv2,288.0,1806336,0.072021484375,0.890625,49.0
97,features.denseblock4.denselayer5.conv1,640.0,4014080,0.13355712890625,0.5946747448979591,245.0
98,features.denseblock4.denselayer5.conv2,288.0,1806336,0.07600911458333333,0.9559948979591837,49.0
99,features.denseblock4.denselayer6.conv1,672.0,4214784,0.06688290550595238,0.5799016034985423,257.25
100,features.denseblock4.denselayer6.conv2,288.0,1806336,0.08680555555555555,0.8861607142857143,49.0
101,features.denseblock4.denselayer7.conv1,704.0,4415488,0.1949129971590909,0.6073167903525046,269.5
102,features.denseblock4.denselayer7.conv2,288.0,1806336,0.087646484375,0.9660395408163265,49.0
103,features.denseblock4.denselayer8.conv1,736.0,4616192,0.17497452445652173,0.6278560337178349,281.75
104,features.denseblock4.denselayer8.conv2,288.0,1806336,0.0852322048611111,0.9622130102040817,49.0
105,features.denseblock4.denselayer9.conv1,768.0,4816896,0.2558085123697917,0.6563828656462585,294.0
106,features.denseblock4.denselayer9.conv2,288.0,1806336,0.09776475694444445,0.9644451530612245,49.0
107,features.denseblock4.denselayer10.conv1,800.0,5017600,0.279921875,0.6592857142857143,306.25
