Layer #,Layer,Weights(KB),MACs,Weight_Sparsity(0-1),Activation_Sparsity(0-1),Activations(KB)
1,conv1,73.5,118013952,0.1683673469387755,0.15625249123086735,6272.0
2,layer1.0.conv1,288.0,115605504,0.18318684895833334,0.0,1568.0
3,layer1.0.conv2,288.0,115605504,0.03379991319444445,0.0,1568.0
4,layer1.1.conv1,288.0,115605504,0.030110677083333332,0.0,1568.0
5,layer1.1.conv2,288.0,115605504,0.031195746527777776,0.0,1568.0
6,layer1.2.conv1,288.0,115605504,0.029486762152777776,0.0,1568.0
7,layer1.2.conv2,288.0,115605504,0.03355577256944445,0.0,1568.0
8,layer2.0.conv1,576.0,57802752,0.03419325086805555,0.0,784.0
9,layer2.0.conv2,1152.0,115605504,0.04568820529513889,0.0,784.0
10,layer2.0.downsample.0,64.0,6422528,0.0201416015625,1.992984693877551e-05,784.0
11,layer2.1.conv1,1152.0,115605504,0.04507785373263889,0.0,784.0
12,layer2.1.conv2,1152.0,115605504,0.044576009114583336,9.964923469387754e-06,784.0
13,layer2.2.conv1,1152.0,115605504,0.04075792100694445,0.0,784.0
14,layer2.2.conv2,1152.0,115605504,0.04255506727430555,9.964923469387754e-06,784.0
15,layer2.3.conv1,1152.0,115605504,0.038655598958333336,0.0,784.0
16,layer2.3.conv2,1152.0,115605504,0.049736870659722224,6.975446428571428e-05,784.0
17,layer3.0.conv1,2304.0,57802752,0.04020521375868055,0.0,392.0
18,layer3.0.conv2,4608.0,115605504,0.04577975802951389,0.0,392.0
19,layer3.0.downsample.0,256.0,6422528,0.030426025390625,0.0,392.0
20,layer3.1.conv1,4608.0,115605504,0.0583038330078125,0.0,392.0
21,layer3.1.conv2,4608.0,115605504,0.05713229709201389,0.0,392.0
22,layer3.2.conv1,4608.0,115605504,0.055760701497395836,0.0,392.0
23,layer3.2.conv2,4608.0,115605504,0.06071641710069445,1.992984693877551e-05,392.0
24,layer3.3.conv1,4608.0,115605504,0.05668301052517361,0.0,392.0
25,layer3.3.conv2,4608.0,115605504,0.07058885362413195,0.0,392.0
26,layer3.4.conv1,4608.0,115605504,0.0550537109375,0.0,392.0
27,layer3.4.conv2,4608.0,115605504,0.06598748101128472,7.971938775510203e-05,392.0
28,layer3.5.conv1,4608.0,115605504,0.05238172743055555,0.0,392.0
29,layer3.5.conv2,4608.0,115605504,0.06158616807725695,1.992984693877551e-05,392.0
30,layer4.0.conv1,9216.0,57802752,0.0491273668077257,0.0,196.0
31,layer4.0.conv2,18432.0,115605504,0.061536153157552086,0.0,196.0
32,layer4.0.downsample.0,1024.0,6422528,0.03557586669921875,0.0,196.0
33,layer4.1.conv1,18432.0,115605504,0.06394068400065105,0.0,196.0
34,layer4.1.conv2,18432.0,115605504,0.07230504353841145,0.0,196.0
35,layer4.2.conv1,18432.0,115605504,0.05984539455837674,0.0,196.0
36,layer4.2.conv2,18432.0,115605504,0.07915751139322917,0.0,196.0
37,fc,4000.0,512000,0.014767578125,0.0,7.8125
