Layer #,Layer,Weights(KB),MACs,Weight_Sparsity(0-1),Activation_Sparsity(0-1),Activations(KB)
1,conv1,73.5,118013952,0.74,0.0,6272.0
2,layer1.0.conv1,32.0,12845056,0.8,0.0,1568.0
3,layer1.0.conv2,288.0,115605504,0.8,0.0,1568.0
4,layer1.0.conv3,128.0,51380224,0.8,0.0273449956154336,6272.0
5,layer1.1.conv1,128.0,51380224,0.77,0.015625,1568.0
6,layer1.1.conv2,288.0,115605504,0.8,0.0,1568.0
7,layer1.1.conv3,128.0,51380224,0.8,0.0,6272.0
8,layer1.2.conv1,128.0,51380224,0.76,0.0,1568.0
9,layer1.2.conv2,288.0,115605504,0.8,0.0,1568.0
10,layer1.2.conv3,128.0,51380224,0.8,2.4912308673469386e-06,6272.0
11,layer2.0.conv1,256.0,102760448,0.72,0.0,3136.0
12,layer2.0.conv2,1152.0,115605504,0.87,0.0,784.0
13,layer2.0.conv3,512.0,51380224,0.86,0.001953125,3136.0
14,layer2.1.conv1,512.0,51380224,0.79,0.0,784.0
15,layer2.1.conv2,1152.0,115605504,0.91,0.0,784.0
16,layer2.1.conv3,512.0,51380224,0.92,0.0,3136.0
17,layer2.2.conv1,512.0,51380224,0.7,0.0,784.0
18,layer2.2.conv2,1152.0,115605504,0.95,0.0,784.0
19,layer2.2.conv3,512.0,51380224,0.93,0.0,3136.0
20,layer2.3.conv1,512.0,51380224,0.72,0.0,784.0
21,layer2.3.conv2,1152.0,115605504,0.87,9.964923469387754e-06,784.0
22,layer2.3.conv3,512.0,51380224,0.87,2.4912308673469386e-06,3136.0
23,layer3.0.conv1,1024.0,102760448,0.73,0.0,1568.0
24,layer3.0.conv2,4608.0,115605504,0.9,0.0,392.0
25,layer3.0.conv3,2048.0,51380224,0.89,0.0009765625,1568.0
26,layer3.1.conv1,2048.0,51380224,0.73,0.0,392.0
27,layer3.1.conv2,4608.0,115605504,0.91,0.0,392.0
28,layer3.1.conv3,2048.0,51380224,0.86,0.0,1568.0
29,layer3.2.conv1,2048.0,51380224,0.73,0.0,392.0
30,layer3.2.conv2,4608.0,115605504,0.89,0.0,392.0
31,layer3.2.conv3,2048.0,51380224,0.9,4.982461734693877e-06,1568.0
32,layer3.3.conv1,2048.0,51380224,0.78,0.0,392.0
33,layer3.3.conv2,4608.0,115605504,0.87,0.0,392.0
34,layer3.3.conv3,2048.0,51380224,0.9,0.0,1568.0
35,layer3.4.conv1,2048.0,51380224,0.76,0.0,392.0
36,layer3.4.conv2,4608.0,115605504,0.85,0.0,392.0
37,layer3.4.conv3,2048.0,51380224,0.91,0.0,1568.0
38,layer3.5.conv1,2048.0,51380224,0.72,0.0,392.0
39,layer3.5.conv2,4608.0,115605504,0.86,0.0,392.0
40,layer3.5.conv3,2048.0,51380224,0.94,9.964923469387754e-06,1568.0
41,layer4.0.conv1,4096.0,102760448,0.8,0.0,784.0
42,layer4.0.conv2,18432.0,115605504,0.79,0.0,196.0
43,layer4.0.conv3,8192.0,51380224,0.77,0.0,784.0
44,layer4.1.conv1,8192.0,51380224,0.71,0.0,196.0
45,layer4.1.conv2,18432.0,115605504,0.78,0.0,196.0
46,layer4.1.conv3,8192.0,51380224,0.77,0.0,784.0
47,layer4.2.conv1,8192.0,51380224,0.71,0.0,196.0
48,layer4.2.conv2,18432.0,115605504,0.77,0.0,196.0
49,layer4.2.conv3,8192.0,51380224,0.75,0.0,784.0
50,fc,16000.0,2048000,0.2,0.0,7.8125
