Layer #,Layer,Weights(KB),MACs,Weight_Sparsity(0-1),Activation_Sparsity(0-1),Activations(KB)
1,conv1,73.5,118013952,0.74,0.1562524912308673,6272.0
2,layer1.0.conv1,288.0,115605504,0.8,0.0,1568.0
3,layer1.0.conv2,288.0,115605504,0.8,0.0,1568.0
4,layer1.1.conv1,288.0,115605504,0.77,0.0,1568.0
5,layer1.1.conv2,288.0,115605504,0.8,0.0,1568.0
6,layer1.2.conv1,288.0,115605504,0.76,0.0,1568.0
7,layer1.2.conv2,288.0,115605504,0.8,0.0,1568.0
8,layer2.0.conv1,576.0,57802752,0.87,0.0,784.0
9,layer2.0.conv2,1152.0,115605504,0.87,0.0,784.0
10,layer2.1.conv1,1152.0,115605504,0.86,0.0,784.0
11,layer2.1.conv2,1152.0,115605504,0.94,9.964923469387754e-06,784.0
12,layer2.2.conv1,1152.0,115605504,0.91,0.0,784.0
13,layer2.2.conv2,1152.0,115605504,0.92,9.964923469387754e-06,784.0
14,layer2.3.conv1,1152.0,115605504,0.85,0.0,784.0
15,layer2.3.conv2,1152.0,115605504,0.95,6.975446428571428e-05,784.0
16,layer3.0.conv1,2304.0,57802752,0.93,0.0,392.0
17,layer3.0.conv2,4608.0,115605504,0.87,0.0,392.0
18,layer3.1.conv1,4608.0,115605504,0.87,0.0,392.0
19,layer3.1.conv2,4608.0,115605504,0.87,0.0,392.0
20,layer3.2.conv1,4608.0,115605504,0.88,0.0,392.0
21,layer3.2.conv2,4608.0,115605504,0.9,1.992984693877551e-05,392.0
22,layer3.3.conv1,4608.0,115605504,0.89,0.0,392.0
23,layer3.3.conv2,4608.0,115605504,0.88,0.0,392.0
24,layer3.4.conv1,4608.0,115605504,0.91,0.0,392.0
25,layer3.4.conv2,4608.0,115605504,0.86,7.971938775510203e-05,392.0
26,layer3.5.conv1,4608.0,115605504,0.88,0.0,392.0
27,layer3.5.conv2,4608.0,115605504,0.89,1.992984693877551e-05,392.0
28,layer4.0.conv1,9216.0,57802752,0.8,0.0,196.0
29,layer4.0.conv2,18432.0,115605504,0.83,0.0,196.0
30,layer4.1.conv1,18432.0,115605504,0.77,0.0,196.0
31,layer4.1.conv2,18432.0,115605504,0.8,0.0,196.0
32,layer4.2.conv1,18432.0,115605504,0.81,0.0,196.0
33,layer4.2.conv2,18432.0,115605504,0.75,0.0,196.0
34,fc,4000.0,512000,0.16,0.0,7.8125
