ou_row,ou_col,Latency,Power Density,TOPS,Energy_per_Mac
4,4,6844.0,0.00039348632812499996,0.04296875,9.1575e-15
4,8,3430.0,0.0007908398437499999,0.0859375,9.202499999999999e-15
4,12,2292.0,0.001192060546875,0.12890625,9.247499999999999e-15
4,16,1720.0,0.0015971484375,0.171875,9.2925e-15
4,20,1378.0,0.002006103515625,0.21484375,9.3375e-15
4,24,1154.0,0.0024189257812499997,0.2578125,9.3825e-15
4,28,992.0,0.002835615234375,0.30078125,9.4275e-15
4,32,870.0,0.003256171875,0.34375,9.472499999999999e-15
4,36,774.0,0.0036805957031249997,0.38671875,9.517499999999999e-15
4,40,696.0,0.0041088867187500005,0.4296875,9.5625e-15
4,44,638.0,0.004541044921875,0.47265625,9.6075e-15
4,48,586.0,0.0049770703125,0.515625,9.6525e-15
4,52,538.0,0.005416962890624999,0.55859375,9.6975e-15
4,56,508.0,0.005860722656249999,0.6015625,9.7425e-15
4,60,470.0,0.006308349609374999,0.64453125,9.787499999999999e-15
4,64,444.0,0.00675984375,0.6875,9.8325e-15
8,4,5145.0,0.001570078125,0.0859375,1.827e-14
8,8,2580.0,0.0031478906249999996,0.171875,1.8315e-14
8,12,1731.0,0.004733437500000001,0.2578125,1.836e-14
8,16,1305.0,0.006326718749999999,0.34375,1.8404999999999998e-14
8,20,1044.0,0.007927734374999999,0.4296875,1.845e-14
8,24,879.0,0.009536484375,0.515625,1.8494999999999998e-14
8,28,762.0,0.011152968749999999,0.6015625,1.854e-14
8,32,666.0,0.0127771875,0.6875,1.8585e-14
8,36,597.0,0.014409140624999999,0.7734375,1.863e-14
8,40,534.0,0.016048828125,0.859375,1.8675e-14
8,44,486.0,0.01769625,0.9453125,1.8719999999999998e-14
8,48,453.0,0.019351406249999998,1.03125,1.8765e-14
8,52,426.0,0.021014296875,1.1171875,1.881e-14
8,56,387.0,0.022684921875,1.203125,1.8855e-14
8,60,366.0,0.02436328125,1.2890625,1.89e-14
8,64,342.0,0.026049375,1.375,1.8944999999999998e-14
12,4,4108.367025826445,0.003529775390625,0.12890625,2.73825e-14
12,8,2068.5233629161066,0.00707115234375,0.2578125,2.74275e-14
12,12,1387.3804877790872,0.010624130859375,0.38671875,2.74725e-14
12,16,1050.3940127112987,0.0141887109375,0.515625,2.7517499999999998e-14
12,20,842.4661876694717,0.017764892578125,0.64453125,2.75625e-14
12,24,713.4075376435102,0.021352675781249997,0.7734375,2.7607499999999997e-14
12,28,616.6135501240389,0.024952060546875002,0.90234375,2.76525e-14
12,32,541.3293376088947,0.028563046874999998,1.03125,2.76975e-14
12,36,480.384975096635,0.032185634765625,1.16015625,2.7742499999999998e-14
12,40,437.365425087981,0.03581982421875,1.2890625,2.77875e-14
12,44,405.1007625814905,0.039465615234374994,1.41796875,2.7832499999999998e-14
12,48,365.66617507355795,0.043123007812499996,1.546875,2.78775e-14
12,52,347.7413625699522,0.046792001953125,1.67578125,2.79225e-14
12,56,315.4767000634617,0.05047259765624999,1.8046875,2.79675e-14
12,60,304.72181256129824,0.054164794921874995,1.93359375,2.80125e-14
12,64,286.7970000576925,0.057868593749999996,2.0625,2.8057499999999998e-14
16,4,3440.0,0.006272578125,0.171875,3.6495e-14
16,8,1740.0,0.012560625,0.34375,3.654e-14
16,12,1172.0,0.018864140625,0.515625,3.6584999999999996e-14
16,16,888.0,0.025183124999999997,0.6875,3.663e-14
16,20,712.0,0.031517578125,0.859375,3.6675e-14
16,24,604.0,0.037867500000000005,1.03125,3.672e-14
16,28,516.0,0.044232890625,1.203125,3.6765e-14
16,32,456.0,0.05061374999999999,1.375,3.6809999999999997e-14
16,36,408.0,0.057010078124999995,1.546875,3.6855e-14
16,40,372.0,0.06342187499999999,1.71875,3.69e-14
16,44,340.0,0.069849140625,1.890625,3.6945e-14
16,48,320.0,0.076291875,2.0625,3.6989999999999996e-14
16,52,292.0,0.082750078125,2.234375,3.7035e-14
16,56,284.0,0.08922374999999999,2.40625,3.708e-14
16,60,260.0,0.09571289062499999,2.578125,3.7125e-14
16,64,236.0,0.1022175,2.75,3.717e-14
20,4,2977.8084573773926,0.009798486328125,0.21484375,4.56075e-14
20,8,1504.030977020802,0.019616308593750003,0.4296875,4.5652500000000004e-14
20,12,1015.6531022985304,0.029453466796874998,0.64453125,4.56975e-14
20,16,769.3032008899505,0.0393099609375,0.859375,4.57425e-14
20,20,613.7137894740055,0.049185791015625,1.07421875,4.57875e-14
20,24,527.2752275762582,0.059080957031250006,1.2890625,4.58325e-14
20,28,445.15859377339825,0.06899545898437501,1.50390625,4.5877500000000004e-14
20,32,401.9393128245246,0.078929296875,1.71875,4.59225e-14
20,36,367.3638880654258,0.088882470703125,1.93359375,4.59675e-14
20,40,315.50075092677747,0.09885498046875,2.1484375,4.60125e-14
20,44,306.8568947370028,0.10884682617187501,2.36328125,4.6057500000000003e-14
20,48,280.9253261676786,0.1188580078125,2.578125,4.61025e-14
20,52,250.671829503467,0.12888852539062498,2.79296875,4.61475e-14
20,56,250.671829503467,0.13893837890625002,3.0078125,4.61925e-14
20,60,237.70604521880492,0.149007568359375,3.22265625,4.62375e-14
20,64,220.41833283925544,0.15909609375000003,3.4375,4.6282500000000004e-14
24,4,2645.523362916106,0.0141075,0.2578125,5.472e-14
24,8,1343.3940127112987,0.028238203125,0.515625,5.4765e-14
24,12,912.4075376435102,0.042392109374999994,0.7734375,5.4809999999999996e-14
24,16,692.3293376088945,0.05656921875,1.03125,5.4855e-14
24,20,559.3654250879811,0.07076953124999999,1.2890625,5.49e-14
24,24,467.66617507355795,0.084993046875,1.546875,5.4945e-14
24,28,403.47670006346164,0.099239765625,1.8046875,5.499e-14
24,32,366.79700005769246,0.1135096875,2.0625,5.5034999999999996e-14
24,36,330.1173000519232,0.1278028125,2.3203125,5.508e-14
24,40,298.0225625468752,0.142119140625,2.578125,5.5125e-14
24,44,265.92782504182696,0.15645867187499998,2.8359375,5.517e-14
24,48,261.34286254110583,0.17082140624999997,3.09375,5.5214999999999995e-14
24,52,252.1729375396635,0.18520734374999998,3.3515625,5.5259999999999996e-14
24,56,210.9082750331731,0.19961648437500001,3.609375,5.5305e-14
24,60,206.32331253245195,0.21404882812499998,3.8671875,5.535e-14
24,64,201.73835003173082,0.22850437499999998,4.125,5.5395e-14
28,4,2384.4480413405718,0.019199619140625,0.30078125,6.38325e-14
28,8,1221.0681502026314,0.03842630859374999,0.6015625,6.38775e-14
28,12,826.8650465939079,0.057680068359375,0.90234375,6.39225e-14
28,16,620.1487849454309,0.0769608984375,1.203125,6.39675e-14
